image_id,true_label,method,orig_pred,orig_conf,anon_pred,anon_conf,identity_similarity,reid_match,emotion_selection_score,selected_seed,selection_mode,prompt,error
0,angry,A_BBox_Generic,angry,0.9759973287582397,neutral,0.879543662071228,0.3989410996437073,,,42,,"photorealistic portrait of a different person, different identity, different facial structure, realistic face, natural skin texture, same pose, same lighting, same background, realistic eyes and proportions",
0,angry,B_Segmentation_Generic,angry,0.9759973287582397,neutral,0.9599071145057678,0.5195666551589966,,,42,,"photorealistic portrait of a different person, different identity, different facial structure, realistic face, natural skin texture, same pose, same lighting, same background, realistic eyes and proportions",
0,angry,C_Segmentation_Prompt,angry,0.9759973287582397,angry,0.8653478026390076,0.49310868978500366,,,42,,"photorealistic portrait of a different person with angry, different identity, different facial structure, realistic skin texture, same pose, same lighting, same background",
0,angry,D_SelectiveSegmentation_Prompt,angry,0.9759973287582397,angry,0.7045478820800781,0.6020716428756714,,,42,,"photorealistic portrait of a different person with angry, different identity, different facial structure, realistic skin texture, same pose, same lighting, same background",
0,angry,E_EmotionAware_Selection,angry,0.9759973287582397,angry,0.824221134185791,0.5695348381996155,,0.9878590106964111,46,emotion_only,"photorealistic portrait of a different person with the same angry facial expression as the original, preserve eyebrow tension, eye openness, gaze intensity, mouth shape, and facial muscle tension, different identity, different facial structure, same head pose, same lighting, same background, realistic skin texture",
0,angry,F_EmotionAware_PrivacyConstrained,angry,0.9759973287582397,angry,0.824221134185791,0.5695348381996155,,0.824221134185791,46,no_validated_threshold_fallback,"photorealistic portrait of a different person with the same angry facial expression as the original, preserve eyebrow tension, eye openness, gaze intensity, mouth shape, and facial muscle tension, different identity, different facial structure, same head pose, same lighting, same background, realistic skin texture",
0,angry,G_EditFriendly_DDPM_Inversion_Main,angry,0.9759973287582397,fear,0.6778246760368347,0.3923399746417999,,,42,edit_friendly_ddpm_inversion,"photorealistic portrait of a different person with the same angry facial expression as the original, preserve eyebrow tension, eye openness, gaze intensity, mouth shape, and facial muscle tension, different identity, different facial structure, same head pose, same lighting, same background, realistic skin texture",
1,angry,A_BBox_Generic,angry,0.9888432025909424,neutral,0.9594293236732483,0.2107112556695938,,,42,,"photorealistic portrait of a different person, different identity, different facial structure, realistic face, natural skin texture, same pose, same lighting, same background, realistic eyes and proportions",
1,angry,B_Segmentation_Generic,angry,0.9888432025909424,neutral,0.989980161190033,0.21022525429725647,,,42,,"photorealistic portrait of a different person, different identity, different facial structure, realistic face, natural skin texture, same pose, same lighting, same background, realistic eyes and proportions",
1,angry,C_Segmentation_Prompt,angry,0.9888432025909424,neutral,0.9873462319374084,,,,42,,"photorealistic portrait of a different person with angry, different identity, different facial structure, realistic skin texture, same pose, same lighting, same background",
1,angry,D_SelectiveSegmentation_Prompt,angry,0.9888432025909424,neutral,0.9597694873809814,0.39713254570961,,,42,,"photorealistic portrait of a different person with angry, different identity, different facial structure, realistic skin texture, same pose, same lighting, same background",
